index,Aveg1L,Aveg1R,Aveg2L,Aveg2R,Aveg3L,Aveg4L
57,0.022765,0.019844,0.010165,0.009359,0.002396,0.002304
58,0.023694,0.020628,0.010604,0.009755,0.002504,0.002397
59,0.024635,0.021465,0.011056,0.010139,0.002622,0.002485
60,0.025638,0.022268,0.011539,0.010527,0.002734,0.002586
61,0.026672,0.023137,0.012021,0.010936,0.002833,0.002693
62,0.027733,0.023990,0.012523,0.011375,0.002948,0.002785
63,0.028849,0.024901,0.013007,0.011792,0.003058,0.002900
64,0.029945,0.025813,0.013493,0.012226,0.003181,0.003011
65,0.031064,0.026761,0.014017,0.012656,0.003315,0.003120
66,0.032242,0.027733,0.014518,0.013121,0.003461,0.003233
67,0.033383,0.028736,0.015071,0.013597,0.003589,0.003344
68,0.034561,0.029692,0.015599,0.014060,0.003720,0.003455
69,0.035776,0.030720,0.016204,0.014532,0.003862,0.003578
70,0.036960,0.031766,0.016753,0.015025,0.004002,0.003685
71,0.038198,0.032836,0.017392,0.015532,0.004144,0.003807
72,0.039440,0.033938,0.018014,0.016033,0.004294,0.003934
73,0.040746,0.035067,0.018627,0.016509,0.004446,0.004050
74,0.042082,0.036202,0.019262,0.017024,0.004619,0.004190
75,0.043438,0.037316,0.019911,0.017528,0.004796,0.004315
76,0.044841,0.038445,0.020555,0.018090,0.004945,0.004462
77,0.046156,0.039584,0.021224,0.018636,0.005107,0.004588
78,0.047566,0.040732,0.021889,0.019180,0.005270,0.004740
79,0.048990,0.041884,0.022549,0.019731,0.005425,0.004891
80,0.050468,0.043019,0.023239,0.020352,0.005603,0.005045
81,0.051962,0.044265,0.023943,0.020963,0.005798,0.005190
82,0.053475,0.045493,0.024686,0.021556,0.005981,0.005342
83,0.054998,0.046706,0.025415,0.022171,0.006176,0.005497
84,0.056544,0.047977,0.026127,0.022772,0.006367,0.005646
85,0.058132,0.049257,0.026896,0.023402,0.006539,0.005812
86,0.059673,0.050599,0.027650,0.024020,0.006716,0.005979
87,0.061244,0.051941,0.028427,0.024670,0.006927,0.006138
88,0.062845,0.053294,0.029171,0.025316,0.007136,0.006288
89,0.064488,0.054652,0.029981,0.026003,0.007328,0.006456
90,0.066118,0.055991,0.030779,0.026680,0.007529,0.006638
91,0.067828,0.057407,0.031615,0.027321,0.007745,0.006821
92,0.069562,0.058802,0.032466,0.028021,0.007959,0.007000
93,0.071257,0.060220,0.033295,0.028719,0.008170,0.007200
94,0.073041,0.061686,0.034183,0.029454,0.008394,0.007388
95,0.074824,0.063124,0.035075,0.030226,0.008610,0.007575
96,0.076590,0.064623,0.035966,0.030985,0.008840,0.007746
97,0.078409,0.066094,0.036893,0.031726,0.009064,0.007950
98,0.080229,0.067599,0.037813,0.032460,0.009288,0.008152
99,0.082094,0.069130,0.038723,0.033225,0.009500,0.008347
100,0.083953,0.070711,0.039664,0.033962,0.009729,0.008553
101,0.085930,0.072252,0.040568,0.034716,0.009974,0.008751
102,0.087853,0.073848,0.041471,0.035493,0.010232,0.008955
103,0.089752,0.075486,0.042453,0.036306,0.010460,0.009160
104,0.091746,0.077136,0.043445,0.037120,0.010702,0.009354
105,0.093659,0.078809,0.044413,0.037950,0.010950,0.009568
106,0.095683,0.080513,0.045459,0.038771,0.011209,0.009789
107,0.097711,0.082242,0.046481,0.039574,0.011468,0.010002
108,0.099747,0.083901,0.047517,0.040466,0.011717,0.010220
109,0.101765,0.085662,0.048536,0.041321,0.012001,0.010435
110,0.103907,0.087389,0.049606,0.042185,0.012259,0.010646
111,0.106009,0.089210,0.050623,0.043051,0.012543,0.010886
112,0.108203,0.090928,0.051694,0.043949,0.012819,0.011124
113,0.110409,0.092744,0.052805,0.044861,0.013104,0.011378
114,0.112623,0.094600,0.053932,0.045778,0.013384,0.011618
115,0.114885,0.096505,0.055079,0.046693,0.013668,0.011857
116,0.117157,0.098375,0.056243,0.047593,0.013959,0.012113
117,0.119495,0.100264,0.057377,0.048581,0.014233,0.012355
118,0.121824,0.102181,0.058524,0.049537,0.014523,0.012614
119,0.124138,0.104129,0.059659,0.050521,0.014820,0.012897
120,0.126526,0.106113,0.060844,0.051506,0.015134,0.013152
121,0.128864,0.108083,0.062022,0.052462,0.015418,0.013414
122,0.131285,0.110053,0.063254,0.053436,0.015717,0.013694
123,0.133724,0.112106,0.064458,0.054417,0.016027,0.013989
124,0.136079,0.114103,0.065743,0.055416,0.016344,0.014248
125,0.138551,0.116165,0.066981,0.056459,0.016628,0.014524
126,0.141076,0.118256,0.068247,0.057477,0.016931,0.014807
127,0.143617,0.120353,0.069519,0.058463,0.017262,0.015085
128,0.146163,0.122448,0.070793,0.059525,0.017612,0.015361
129,0.148761,0.124445,0.072059,0.060547,0.017934,0.015643
130,0.151389,0.126556,0.073344,0.061588,0.018286,0.015931
131,0.153988,0.128643,0.074641,0.062686,0.018605,0.016210
132,0.156630,0.130817,0.075974,0.063763,0.018964,0.016501
133,0.159282,0.133040,0.077291,0.064855,0.019331,0.016776
134,0.161951,0.135299,0.078655,0.065994,0.019688,0.017052
135,0.164585,0.137535,0.079996,0.067148,0.020042,0.017345
136,0.167267,0.139771,0.081370,0.068260,0.020395,0.017637
137,0.170007,0.142040,0.082750,0.069434,0.020748,0.017937
138,0.172789,0.144329,0.084146,0.070622,0.021118,0.018233
139,0.175554,0.146605,0.085527,0.071792,0.021481,0.018532
140,0.178332,0.148876,0.086923,0.072957,0.021868,0.018851
141,0.181174,0.151166,0.088397,0.074177,0.022245,0.019187
142,0.183959,0.153520,0.089780,0.075333,0.022620,0.019504
143,0.186893,0.155884,0.091185,0.076565,0.023015,0.019808
144,0.189865,0.158296,0.092713,0.077796,0.023381,0.020162
145,0.192816,0.160666,0.094182,0.079005,0.023799,0.020488
146,0.195776,0.163121,0.095672,0.080270,0.024200,0.020834
147,0.198721,0.165631,0.097172,0.081493,0.024573,0.021162
148,0.201740,0.168063,0.098703,0.082782,0.024976,0.021500
149,0.204811,0.170623,0.100245,0.084089,0.025372,0.021812
150,0.207847,0.173165,0.101836,0.085343,0.025815,0.022151
151,0.210920,0.175669,0.103340,0.086652,0.026226,0.022524
152,0.213972,0.178231,0.104935,0.087941,0.026630,0.022866
153,0.217010,0.180870,0.106481,0.089231,0.027059,0.023210
154,0.220084,0.183492,0.108118,0.090526,0.027479,0.023579
155,0.223276,0.186113,0.109703,0.091887,0.027905,0.023948
156,0.226470,0.188768,0.111351,0.093246,0.028353,0.024310
