index,veg1,veg2,veg3
485,0.768600,0.697177,0.620257
486,0.768674,0.697429,0.621588
487,0.768760,0.697673,0.622930
488,0.768840,0.697917,0.624256
489,0.768921,0.698177,0.625613
490,0.768994,0.698439,0.626929
491,0.769070,0.698696,0.628229
492,0.769156,0.698953,0.629610
493,0.769229,0.699216,0.630961
494,0.769305,0.699459,0.632307
495,0.769382,0.699711,0.633652
496,0.769470,0.699989,0.635005
497,0.769549,0.700257,0.636373
498,0.769623,0.700525,0.637651
499,0.769708,0.700786,0.638963
